ID,date,fighter,current_lose_streak,current_win_streak,longest_win_streak,losses,total_rounds_fought,total_title_bouts,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO_TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,wins,Height_cms,Reach_cms,Weight_lbs,age,Stance_Open_Stance,Stance_Orthodox,Stance_Southpaw,Stance_Switch
1,2000-11-17,Aaron Brink,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.5,195.6930563384726,205.0,26.0,0,1,0,0
2,2014-08-23,Aaron Phillips,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.26,177.8,135.0,25.0,0,0,1,0
3,2013-07-27,Aaron Riley,1.0,0.0,1.0,5.0,17.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,172.72,175.26,155.0,32.0,0,0,1,0
4,2012-03-02,Aaron Rosa,0.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,193.04,198.12,205.0,28.0,0,1,0,0
5,2012-10-05,Aaron Simpson,0.0,1.0,3.0,3.0,26.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,7.0,182.88,185.42,170.0,38.0,0,1,0,0
6,2018-09-08,Abdul Razak Alhassan,0.0,2.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,177.8,185.42,170.0,33.0,0,1,0,0
7,2017-09-02,Abdul-Kerim Edilov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.96,198.12,205.0,25.0,0,1,0,0
8,2017-12-16,Abel Trujillo,1.0,0.0,3.0,4.0,21.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,6.0,172.72,177.8,155.0,34.0,0,1,0,0
9,2018-07-22,Abu Azaitar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.26,193.04,185.0,32.0,0,1,0,0
10,2018-12-15,Adam Milstead,2.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,190.5,193.04,205.0,31.0,0,1,0,0
